model,experiment,years,GMTemp,DMI mean,DMI stddev,Nino34 stddev,TIO mean,IOBM,DMI AnnCycAmp,EEIO mean,EEIO stddev,SASmonsoon area mean,SASmonsoon rain mean,SASmonsoon area stddev,SASmonsoon rain stddev,SAS rain ann,SAS rain jja,SAS rain djf,SAS rain jja stddev,SAS rain djf stddev,r(nino34.iod),r(iod.iobm),r(iod.eeio)
CNRM-CM6-1,lig127k-cal-adj,300,13.3501,-0.0263278,0.482623,0.650003,27.382,0.211777,2.8625,27.8702,0.535943,2.524e+06,8.58553,265856,0.84066,3.9211,1.40963,3.8783,0.277437,0.39848,0.213947,-0.205476,-0.732773
CNRM-CM6-1,piControl,499,12.8577,-0.0610412,0.588645,0.845644,27.2232,0.231713,2.51774,27.8691,0.514975,2.30746e+06,9.61581,222012,0.84408,3.2479,1.33976,3.02439,0.279751,0.45022,0.219932,-0.00976088,-0.653102
COSMOS-ASO,lgm-cal-adj,599,6.97033,-1.15615,0.514315,1.78477,23.628,0.610555,2.82352,24.9744,0.649884,1.94862e+06,5.18995,275981,0.377709,2.3208,1.21915,2.52522,0.502404,0.602187,0.265482,0.323518,0.234031
COSMOS-ASO,piControl,399,12.4407,-1.29929,0.537102,1.78083,27.0059,0.441979,2.16612,28.116,0.500062,2.19575e+06,6.49173,228445,0.394225,2.58979,0.930064,3.00249,0.409856,0.561771,0.285779,0.500461,0.399899
CSIRO-Mk3-6-0,abrupt4xCO2,148,18.2434,0.157294,0.615072,0.966189,31.9268,0.234342,3.83608,33.2743,0.549442,2.75141e+06,12.2124,279353,1.14157,2.22115,1.04932,2.91852,0.23239,0.541047,-0.299988,-0.067257,-0.602879
CSIRO-Mk3-6-0,midHolocene-cal-adj,99,12.8117,-0.892913,1.02384,0.80598,26.7823,0.227054,3.24809,28.3062,0.671068,2.4257e+06,8.88085,356259,0.663941,2.07293,0.778058,2.59809,0.241157,0.593431,0.258011,0.105663,-0.469713
CSIRO-Mk3-6-0,piControl,499,12.7337,-1.19285,0.753027,0.680119,26.9827,0.211158,1.97738,28.6558,0.37485,2.55561e+06,10.1578,332987,0.692951,1.80774,0.717625,2.06278,0.213472,0.435988,0.26132,0.223926,0.222408
CSIRO-Mk3L-1-2,midHolocene-cal-adj,499,14.0929,0.245093,0.50555,0.44106,27.7859,0.2037,2.0335,28.5508,0.376254,1.81824e+06,7.11293,268287,0.878798,2.00724,0.690607,2.17857,0.372589,0.563813,0.256175,0.130256,-0.443597
CSIRO-Mk3L-1-2,piControl,999,14.0412,0.202176,0.541608,0.534729,28.0872,0.206838,1.77375,28.8614,0.326167,1.76591e+06,8.88678,254904,1.14562,1.91091,0.822782,1.84721,0.461683,0.563328,0.336176,0.234689,-0.243127
EC-Earth3-LR,midHolocene-cal-adj,200,13.3157,0.933476,0.496421,0.602431,26.7389,0.255822,2.90371,27.2314,0.555843,2.57523e+06,8.4745,247510,0.469138,2.72556,0.789078,3.29032,0.172232,0.356812,0.198636,-0.322378,-0.765282
EC-Earth3-LR,piControl,200,13.2985,0.429173,0.650358,0.691268,27.151,0.251161,2.17475,27.9739,0.533463,2.4356e+06,8.58768,225986,0.459635,2.48371,0.987196,2.68994,0.214323,0.414702,0.36889,-0.0352837,-0.613077
FGOALS-f3-L,abrupt4xCO2,149,17.8834,0.622143,0.552925,1.30429,30.8915,0.248986,2.49699,31.448,0.600708,2.58395e+06,11.5483,183963,1.12336,3.81677,0.925015,3.96294,0.243847,0.806993,0.537296,-0.124387,-0.797738
FGOALS-f3-L,lig127k-cal-adj,499,12.6165,0.342398,0.571391,1.07971,26.7333,0.224842,3.40238,27.3789,0.538409,2.8596e+06,9.0715,209107,0.896789,3.60696,0.990768,3.19612,0.212416,0.475606,0.566225,0.141769,-0.689518
FGOALS-f3-L,midHolocene-cal-adj,499,12.5715,0.329589,0.663724,1.32186,26.7125,0.263073,2.91621,27.4416,0.599866,2.40161e+06,9.08471,252408,0.98174,3.12146,0.894289,3.10909,0.184504,0.508349,0.590461,0.131284,-0.719108
FGOALS-f3-L,piControl,560,12.8781,0.104471,0.72812,1.34987,27.1844,0.268652,2.05111,28.1075,0.490038,2.41528e+06,10.1567,190748,0.952284,2.98264,0.928788,2.89196,0.24606,0.567104,0.542364,0.214851,-0.595703
FGOALS-g2,abrupt4xCO2,149,18.2332,0.537979,0.315235,0.565466,30.9656,0.161988,1.60404,31.5533,0.314038,2.35396e+06,13.0044,152343,1.08364,2.67359,1.07533,2.39702,0.167547,0.419182,0.229501,-0.310439,-0.767382
FGOALS-g2,lgm-cal-adj,99,8.58476,1.30599,0.257086,0.395681,24.0783,0.163194,2.50272,24.6904,0.340544,2.65803e+06,10.9805,149265,0.772464,2.06437,1.0393,1.84542,0.179752,0.277615,0.209109,-0.459523,-0.750813
FGOALS-g2,midHolocene-cal-adj,679,12.4958,0.53769,0.267088,0.55938,26.2791,0.192273,2.21889,26.9456,0.300667,2.74163e+06,11.0445,223367,0.901013,2.58851,1.09095,2.56773,0.203033,0.311977,0.218021,-0.263524,-0.593141
FGOALS-g2,piControl,699,13.1696,0.453137,0.369218,0.744639,27.1461,0.216287,1.78815,27.8713,0.399136,2.52901e+06,12.4022,219614,1.4371,2.39227,1.15979,2.32072,0.216565,0.365887,0.3853,-0.343945,-0.730234
FGOALS-g3,lig127k-cal-adj,499,14.4609,0.158463,0.36838,0.744687,27.8318,0.206633,2.67808,28.5865,0.407383,3.28743e+06,10.3447,188066,0.661065,2.31664,0.71245,2.18093,0.114513,0.356733,0.373595,-0.271946,-0.75086
FGOALS-g3,midHolocene-cal-adj,499,13.8456,0.224318,0.391848,0.838566,27.6475,0.195473,2.43638,28.4382,0.395376,3.12296e+06,10.6519,194790,0.651155,2.1969,0.653756,2.22068,0.118835,0.343771,0.40162,-0.207327,-0.735551
FGOALS-g3,piControl,499,14.0245,-0.0583432,0.602394,1.02008,28.1606,0.213853,1.56071,29.0462,0.327109,2.71503e+06,12.7069,204345,0.765822,2.24287,0.875443,2.32917,0.177361,0.416176,0.405351,0.0518611,-0.578613
FGOALS-s2,abrupt4xCO2,149,19.4834,0.529959,0.450341,1.35418,31.2956,0.318137,1.95158,31.8847,0.494193,2.71854e+06,6.55394,231403,0.854639,3.49219,1.10826,3.94893,0.248902,0.658125,0.368118,-0.216674,-0.655769
FGOALS-s2,midHolocene-cal-adj,99,13.5477,0.226269,0.682395,1.04283,26.592,0.336221,2.46576,27.508,0.663032,2.85738e+06,5.89326,316920,0.467758,2.78114,0.715666,3.35385,0.219848,0.353367,0.301897,-0.182573,-0.63955
FGOALS-s2,piControl,500,13.6471,-0.212274,0.720591,1.07175,26.9706,0.293091,1.39209,28.1611,0.447696,2.8214e+06,6.47342,235362,0.458208,2.64895,0.938356,2.9151,0.298951,0.41915,0.293923,0.0613601,-0.447798
GISS-E2-1-G,abrupt4xCO2,149,17.9135,0.385612,0.337345,0.94161,31.8492,0.251449,1.37654,32.1951,0.29195,2.42496e+06,9.99436,318589,1.13336,4.08549,2.80413,3.8056,0.360519,0.539012,0.0117216,-0.030869,-0.129084
GISS-E2-1-G,lig127k-cal-adj,99,13.8151,0.324822,0.442162,1.17884,27.9069,0.313204,1.86993,28.3104,0.461831,2.38793e+06,8.49798,312579,1.12708,4.18142,2.42252,3.76769,0.303414,0.421918,0.324256,-0.00190899,-0.453715
