model,experiment,years,GMTemp,DMI mean,DMI stddev,Nino34 stddev,TIO mean,IOBM,DMI AnnCycAmp,EEIO mean,EEIO stddev,SASmonsoon area mean,SASmonsoon rain mean,SASmonsoon area stddev,SASmonsoon rain stddev,SAS rain ann,SAS rain jja,SAS rain djf,SAS rain jja stddev,SAS rain djf stddev,r(nino34.iod),r(iod.iobm),r(iod.eeio)
IPSL-CM6A-LR,lig127k-cal-adj,549,12.7771,-0.178968,0.473162,0.806532,26.8692,0.219827,3.40997,27.4239,0.559933,2.68748e+06,8.72075,147292,0.545664,3.60822,1.27664,4.27442,0.470947,0.331203,0.388454,-0.171752,-0.629674
IPSL-CM6A-LR,midHolocene-cal-adj,549,12.418,-0.438318,0.500956,0.927989,26.6654,0.204981,2.50317,27.5397,0.450236,2.61424e+06,8.51144,176689,0.510101,3.11617,0.971255,4.13952,0.257076,0.34559,0.297502,0.135048,-0.428291
IPSL-CM6A-LR,piControl,1199,12.7134,-0.75432,0.406045,0.975408,27.1068,0.211107,1.67225,28.1162,0.302992,2.65363e+06,9.09873,163775,0.481935,3.03476,1.26502,3.79092,0.27797,0.412915,0.314242,0.436467,0.280035
MIROC-ES2L,abrupt4xCO2,149,19.0468,-1.03768,0.593923,1.53666,30.8276,0.466274,2.28455,31.9992,0.514343,2.54694e+06,8.21328,218261,0.644791,4.24814,2.84003,3.81813,0.382987,0.484197,0.374344,0.507999,0.373452
MIROC-ES2L,lgm-cal-adj,99,10.9352,-1.18748,0.439928,1.02905,25.1547,0.335082,3.37475,26.4323,0.466653,2.44814e+06,6.51565,233538,0.423108,2.69704,1.78643,1.84163,0.309186,0.291775,0.207369,0.371036,0.295765
MIROC-ES2L,lig127k-cal-adj,99,14.7248,-0.986479,0.478877,0.543613,26.7637,0.220226,1.77142,28.0086,0.338262,2.95284e+06,7.45432,154232,0.43814,4.17814,3.02136,3.48408,0.306526,0.317957,0.166926,0.0620066,-0.20497
MIROC-ES2L,midHolocene-cal-adj,99,14.5749,-1.13595,0.442685,0.749171,26.7821,0.292312,2.72041,28.0051,0.419307,2.5291e+06,7.03849,251749,0.362628,3.75897,2.52587,3.0147,0.264311,0.274998,0.128756,0.268163,0.216869
MIROC-ES2L,piControl,499,14.9837,-1.39093,0.450318,1.1859,27.3065,0.375999,3.0409,28.5046,0.503812,2.47497e+06,7.34,211047,0.422479,3.83126,2.71501,2.88046,0.358192,0.331404,0.202516,0.234797,0.196526
MIROC-ESM,abrupt4xCO2,148,19.9351,-0.296297,0.201834,0.421131,32.1281,0.118502,0.821445,32.7465,0.161623,2.40228e+06,8.01008,137569,0.471986,3.4662,1.22631,3.8797,0.387364,0.350249,0.0621411,0.371149,-0.193502
MIROC-ESM,lgm-cal-adj,99,8.59001,-0.522556,0.555232,0.547678,25.0103,0.197998,1.48577,26.6067,0.31348,2.61232e+06,7.1249,165954,0.396488,2.72551,1.69113,2.71532,0.308819,0.353014,0.107083,0.0707745,-0.310283
